Currency,Date,Open,High,Low,Close,Volume
EUR=X,1/9/2020,1.112965,1.11387,1.111095,1.112505,162544928
GBP=X,1/9/2020,1.311375,1.313315,1.302255,1.307795,457604637
JPY=X,1/9/2020,108.92156,109.43985,108.89256,109.37385,526140726
AUD=X,1/9/2020,0.68779,0.68847,0.68541,0.685675,413892257
CHF=X,1/9/2020,0.971735,0.97317,0.969545,0.971695,106358517
NZD=X,1/9/2020,0.665555,0.666105,0.66023,0.661055,821103380
CAD=X,1/10/2020,1.306285,1.30754,1.302965,1.305445,202360408
EUR=X,1/10/2020,1.112555,1.114685,1.110275,1.11386,277437242
GBP=X,1/10/2020,1.307825,1.31048,1.30514,1.307235,158934842
JPY=X,1/10/2020,109.37385,109.55006,109.30035,109.36485,108479662
AUD=X,1/10/2020,0.6857,0.69154,0.685475,0.690285,780470921
CHF=X,1/10/2020,0.971695,0.9746,0.970415,0.97125,170738499
NZD=X,1/10/2020,0.661055,0.664765,0.66045,0.66387,551090225
CAD=X,1/12/2020,1.305865,1.306645,1.305865,1.306605,190174645
EUR=X,1/12/2020,1.11179,1.113555,1.11108,1.113325,308709706
GBP=X,1/12/2020,1.303575,1.30531,1.30287,1.305235,265816675
JPY=X,1/12/2020,109.5605,109.5645,109.396,109.426,226723844
AUD=X,1/12/2020,0.68966,0.69098,0.689255,0.690415,212051373
CHF=X,1/12/2020,0.972975,0.97402,0.97172,0.971735,297114019
NZD=X,1/12/2020,0.66428,0.664585,0.66342,0.663965,150477237
CAD=X,1/13/2020,1.306605,1.30678,1.303215,1.305665,214546171
EUR=X,1/13/2020,1.113325,1.11645,1.112955,1.11505,334543480
GBP=X,1/13/2020,1.305235,1.30536,1.297025,1.29965,657883212
JPY=X,1/13/2020,109.426,109.89656,109.396,109.89356,540527886
AUD=X,1/13/2020,0.690415,0.69239,0.689855,0.690205,131166607
CHF=X,1/13/2020,0.971735,0.972075,0.967925,0.96953,450513235
NZD=X,1/13/2020,0.663915,0.665615,0.662305,0.66277,283480749
CAD=X,1/14/2020,1.305715,1.308025,1.304745,1.306585,206016137
EUR=X,1/14/2020,1.11508,1.116115,1.110615,1.114305,205374607
GBP=X,1/14/2020,1.299565,1.30426,1.296395,1.302995,442621203
JPY=X,1/14/2020,109.89356,110.06656,109.68756,109.72356,260171402
AUD=X,1/14/2020,0.690205,0.69137,0.68885,0.6898,160107028
CHF=X,1/14/2020,0.96954,0.969845,0.965075,0.965705,709622793
NZD=X,1/14/2020,0.662795,0.663725,0.660545,0.661145,364404573
CAD=X,1/15/2020,1.306585,1.307825,1.303545,1.30415,396723325
EUR=X,1/15/2020,1.114305,1.11796,1.11343,1.116575,408645623
GBP=X,1/15/2020,1.302995,1.305865,1.299535,1.304675,267814467
JPY=X,1/15/2020,109.72356,109.87235,109.65935,109.75706,131563188
AUD=X,1/15/2020,0.6898,0.692025,0.68807,0.690935,268448091
CHF=X,1/15/2020,0.96569,0.96654,0.961615,0.962405,622193187
NZD=X,1/15/2020,0.661145,0.66237,0.65864,0.662,237009642
CAD=X,1/16/2020,1.304105,1.30564,1.30326,1.30414,104265017
EUR=X,1/16/2020,1.116575,1.118685,1.114245,1.115145,294433146
GBP=X,1/16/2020,1.304675,1.30921,1.30338,1.308625,494563776
JPY=X,1/16/2020,109.75706,110.08435,109.75406,110.06285,388110665
AUD=X,1/16/2020,0.69096,0.69377,0.689065,0.690065,232829111
CHF=X,1/16/2020,0.962385,0.964,0.96001,0.963675,305062165
NZD=X,1/16/2020,0.662,0.666775,0.66192,0.664095,435713685
