Date,Adj Close,Close,High,Low,Open,Volume,Ticker,RSI,MACD,MACD_signal,MACD_hist,Percent_change,Labels,Adj Close,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,CAD=X,CAD=X,CAD=X,CAD=X,CAD=X,CAD=X,,,,,,,,EUR=X,EUR=X,EUR=X,EUR=X,EUR=X,EUR=X,GBP=X,GBP=X,GBP=X,GBP=X,GBP=X
2008-01-01,,,,,,,GBP=X,,0.0,0.0,0.0,,0,,,,,,,0.5030900239944458,0.5053099989891052,0.502560019493103,0.5036500096321106,0.0
2008-01-02,,,,,,,GBP=X,,0.00011965420171400343,2.3930840342800686e-05,9.572336137120274e-05,0.2981476106131753,1,,,,,,,0.5045899748802185,0.5054299831390381,0.5027700066566467,0.5031999945640564,0.0
2008-01-03,,,,,,,GBP=X,,0.0003691919931663179,9.298307090750414e-05,0.00027620892225881376,0.3904264486395803,1,,,,,,,0.5065600275993347,0.5073599815368652,0.5040299892425537,0.5045700073242188,0.0
2008-01-04,,,,,,,GBP=X,,0.0005253916598906283,0.00017946478870412897,0.00034592687118649933,-0.08686068062203622,0,,,,,,,0.5061200261116028,0.508080005645752,0.5038800239562988,0.5065299868583679,0.0
2008-01-07,,,,,,,GBP=X,,0.0008228642350335269,0.0003081446779700086,0.0005147195570635183,0.448506910320412,1,,,,,,,0.5083900094032288,0.5085999965667725,0.5061799883842468,0.507099986076355,0.0
2008-01-08,,,,,,,GBP=X,,0.0009476308458220561,0.0004360419115404181,0.000511588934281638,-0.24391018843246126,0,,,,,,,0.5071499943733215,0.5083600282669067,0.5044100284576416,0.5083600282669067,0.0
2008-01-09,,,,,,,GBP=X,,0.001330540181567752,0.0006149415655458849,0.0007155986160218671,0.7315452135583378,1,,,,,,,0.510860025882721,0.5112699866294861,0.5059700012207031,0.5071300268173218,0.0
2008-01-10,,,,,,,GBP=X,,0.0015300195954696116,0.0007979571715306304,0.0007320624239389813,-0.20945514011571076,0,,,,,,,0.5097900032997131,0.5115900039672852,0.5088000297546387,0.5108299851417542,0.0
2008-01-11,,,,,,,GBP=X,,0.0017143407879047778,0.00098123389480546,0.0007331068930993179,0.11181059147837846,1,,,,,,,0.5103600025177002,0.5130299925804138,0.5093200206756592,0.5096799731254578,0.0
